"","t","i","a","s","open","completed","carried","c_a"
"1",0,0,NA,"C_999",974710,324250,NA,0.249622775143191
"2",1,0,NA,"C_999",1064852,376461,NA,0.261193092687015
"3",2,0,NA,"C_999",1091577,406544,NA,0.271369268570429
"4",3,0,NA,"C_999",1072983,388922,NA,0.266037806834233
"5",4,0,NA,"C_999",968731,380561,NA,0.282044953946218
"6",5,0,NA,"C_999",1026556,365309,NA,0.26246008053942
"7",6,0,NA,"C_999",1060120,382121,NA,0.264949477930526
"8",7,0,NA,"C_999",1072140,395130,NA,0.269296039583717
"9",8,0,NA,"C_999",813975,328842,NA,0.287746857108356
"10",9,0,NA,"C_999",1104645,368312,NA,0.250049390443849
"11",10,0,NA,"C_999",1088400,384867,NA,0.261233707128443
"12",11,0,NA,"C_999",985583,371468,NA,0.273731790478029
"13",12,0,NA,"C_999",1113934,361873,NA,0.245203471727672
"14",13,0,NA,"C_999",1053570,387451,NA,0.268872556333322
"15",14,0,NA,"C_999",1047875,366197,NA,0.25896630440317
"16",15,0,NA,"C_999",1049446,407904,NA,0.279894328747384
"17",16,0,NA,"C_999",925375,358047,NA,0.278978387467256
"18",17,0,NA,"C_999",1058497,368564,NA,0.258267866615372
"19",18,0,NA,"C_999",1076975,422744,NA,0.281882139254087
"20",19,0,NA,"C_999",1049606,388145,NA,0.269966774497114
"21",20,0,NA,"C_999",865661,351360,NA,0.288704960719659
"22",21,0,NA,"C_999",1114229,372851,NA,0.250726927939317
"23",22,0,NA,"C_999",1098866,384831,NA,0.259373039104345
"24",23,0,NA,"C_999",1119784,400606,NA,0.263488973223975
"25",24,0,NA,"C_999",994722,377910,NA,0.275317783644852
"26",25,0,NA,"C_999",1050845,382437,NA,0.266826067724286
"27",26,0,NA,"C_999",1150751,403974,NA,0.259836305455949
"28",27,0,NA,"C_999",1097725,432425,NA,0.282603012776525
"29",28,0,NA,"C_999",952739,357309,NA,0.272744968123305
"30",29,0,NA,"C_999",1103405,392237,NA,0.262253266490243
"31",0,1,NA,"C_999",1148259,225177,NA,0.16395157837715
"32",1,1,1,"C_999",1092569,238586,736124,0.179232320804114
"33",2,1,1,"C_999",1167816,255957,808895,0.179773742022078
"34",3,1,1,"C_999",1197072,249481,842096,0.172465855036075
"35",4,1,1,"C_999",1170678,252470,820513,0.177402490816134
"36",5,1,1,"C_999",1079537,238897,729834,0.181197541932323
"37",6,1,1,"C_999",1157456,253610,772946,0.179729367726244
"38",7,1,1,"C_999",1140465,270251,789869,0.191570096319883
"39",8,1,1,"C_999",1187965,212451,859689,0.151705636039577
"40",9,1,1,"C_999",894311,253723,560252,0.221006520712801
"41",10,1,1,"C_999",1189492,227835,876810,0.160749777574265
"42",11,1,1,"C_999",1190204,248885,839515,0.172946218058786
"43",12,1,1,"C_999",1068580,262927,722656,0.197465728681862
"44",13,1,1,"C_999",1186227,253217,860717,0.175913060876283
"45",14,1,1,"C_999",1168591,251109,802461,0.176874691836303
"46",15,1,1,"C_999",1176839,276334,771541,0.190159051950456
"47",16,1,1,"C_999",1158200,241536,807910,0.172558253842153
"48",17,1,1,"C_999",1069810,245460,679915,0.186623278870498
"49",18,1,1,"C_999",1169625,272317,786180,0.188854336720894
"50",19,1,1,"C_999",1163352,267017,809958,0.186677004325457
"51",20,1,1,"C_999",1203255,234904,814702,0.163336599082577
"52",21,1,1,"C_999",901842,267056,598605,0.228468181141554
"53",22,1,1,"C_999",1205185,229415,884814,0.159915655931967
"54",23,1,1,"C_999",1198752,275021,823845,0.18661014959563
"55",24,1,1,"C_999",1227074,273728,846056,0.182387816647366
"56",25,1,1,"C_999",1066857,268690,726032,0.201183485118831
"57",26,1,1,"C_999",1172323,275116,775729,0.190070876907421
"58",27,1,1,"C_999",1202145,298796,851955,0.199072448550609
"59",28,1,1,"C_999",1189322,263045,834680,0.18111469070834
"60",29,1,1,"C_999",1085731,275345,677394,0.202299504215782
"61",0,2,NA,"C_999",996095,140900,NA,0.123923148298805
"62",1,2,0.930337101631566,"C_999",909772,170364,977895,0.15772458283031
"63",2,2,0.983710199171234,"C_999",919892,157444,935125,0.146141964995136
"64",3,2,0.961555421257463,"C_999",976923,151834,1015982,0.134514337452614
"65",4,2,0.975038127368518,"C_999",1012698,158448,1038624,0.135293123146047
"66",5,2,0.970131177031107,"C_999",980433,160059,1010619,0.14034206289917
"67",6,2,0.97989637283248,"C_999",904559,156420,923117,0.147429873729829
"68",7,2,0.967811678637613,"C_999",958842,166724,990732,0.148124587985067
"69",8,2,0.969205701599914,"C_999",979677,129661,1010804,0.116881419369029
"70",9,2,0.961241504662557,"C_999",973084,175645,1012320,0.152903774519491
"71",10,2,0.971769663477596,"C_999",736099,136828,757483,0.156746211309766
"72",11,2,0.951116255680902,"C_999",1002448,135522,1053970,0.119091012944102
"73",12,2,0.966266216192451,"C_999",988987,166690,1023514,0.144235802910329
"74",13,2,0.975079170508738,"C_999",886150,159782,908798,0.152765189323971
"75",14,2,0.960355915863532,"C_999",993178,152050,1034177,0.132768322115771
"76",15,2,0.966068915612557,"C_999",966579,168063,1000528,0.148119847493747
"77",16,2,0.973543522694344,"C_999",1001198,148433,1028406,0.129113602538554
"78",17,2,0.955924604869286,"C_999",953552,160682,997518,0.144208487624682
"79",18,2,0.983968223953893,"C_999",889831,165481,904329,0.15680765498734
"80",19,2,0.963488286607563,"C_999",975054,157621,1012004,0.139158187476549
"81",20,2,0.962076836264092,"C_999",985463,139044,1024308,0.123648852341515
"82",21,2,0.973181626715516,"C_999",993453,182425,1020830,0.155139393712613
"83",22,2,0.97132800084059,"C_999",739540,140472,761370,0.159625096021418
"84",23,2,0.936071262780086,"C_999",992097,145333,1059852,0.127773137687594
"85",24,2,0.959896895087956,"C_999",995415,161750,1037002,0.139781275790402
"86",25,2,0.959765896880079,"C_999",1012148,172496,1054578,0.145609989161301
"87",26,2,0.951868161047985,"C_999",860327,163027,903830,0.159306554721045
"88",27,2,0.94864406965797,"C_999",950197,170686,1001637,0.152278159272645
"89",28,2,0.95972081319723,"C_999",1008442,151379,1050766,0.130519278405892
"90",29,2,0.95398930223078,"C_999",964176,178644,1010678,0.156318580353862
"91",0,3,NA,"C_999",837208,93971,NA,0.100916150385694
"92",1,3,0.973725593201481,"C_999",848930,124258,871837,0.127681393523143
"93",2,3,0.974828681903449,"C_999",763905,126142,783630,0.141725099910454
"94",3,3,0.967704827965112,"C_999",789082,104476,815416,0.116921341423836
"95",4,3,0.968020985256406,"C_999",840279,108885,868038,0.114716740205065
"96",5,3,0.961397019819108,"C_999",860882,117249,895449,0.119870446801093
"97",6,3,0.961671452919614,"C_999",823787,123813,856620,0.130659560996201
"98",7,3,0.964414632212049,"C_999",753962,122777,781782,0.140038255398699
"99",8,3,0.967703854100785,"C_999",836939,93971,864871,0.100945311576844
"100",9,3,0.964797785377433,"C_999",821808,127884,851793,0.134658394511063
"101",10,3,0.948979567905288,"C_999",809267,120308,852776,0.129422585590189
"102",11,3,0.982459762563934,"C_999",628116,96769,639330,0.133495657931948
"103",12,3,0.941642076496592,"C_999",837988,112526,889922,0.118384368878312
"104",13,3,0.97426969941821,"C_999",842830,123898,865089,0.128162213156131
"105",14,3,0.959367651239114,"C_999",742493,112210,773940,0.13128537047372
"106",15,3,0.963608654569473,"C_999",840313,121130,872048,0.125987708059656
"107",16,3,0.972893128907739,"C_999",834502,108826,857753,0.115363903117473
"108",17,3,0.948509722166995,"C_999",834883,120993,880205,0.126578133565442
"109",18,3,0.956252199342321,"C_999",788057,129442,824110,0.141081352677224
"110",19,3,0.962763729529588,"C_999",747044,113894,775937,0.132290594676969
"111",20,3,0.959372119763102,"C_999",841047,98390,876664,0.104732941112603
"112",21,3,0.968872351130925,"C_999",828008,130853,854610,0.136467120886135
"113",22,3,0.94203325264961,"C_999",825467,117192,876261,0.124320671632054
"114",23,3,0.97124123583765,"C_999",615326,105994,633546,0.14694449065602
"115",24,3,0.937474755089205,"C_999",833221,103304,888793,0.110305651210592
"116",25,3,0.953765493125355,"C_999",833530,121479,873936,0.127201942599494
"117",26,3,0.941056740397126,"C_999",831753,128298,883850,0.133636650552939
"118",27,3,0.963096904336195,"C_999",714250,118709,741618,0.142514817656091
"119",28,3,0.963293336048224,"C_999",813717,105473,844724,0.114745591227059
"120",29,3,0.950325258065398,"C_999",834454,130370,878072,0.135123089807053
"121",0,4,NA,"C_999",515262,62914,NA,0.108814617002435
"122",1,4,0.941832389599183,"C_999",702914,90882,746326,0.114490372841385
"123",2,4,0.954906991489715,"C_999",713856,101364,747566,0.124339442113785
"124",3,4,0.955702023526335,"C_999",643219,90872,673033,0.123788467642295
"125",4,4,0.97281041676998,"C_999",686595,83297,705785,0.108193097213635
"126",5,4,0.943092047711328,"C_999",706143,91526,748753,0.114741829004261
"127",6,4,0.941450126009225,"C_999",715375,101017,759865,0.123735901380709
"128",7,4,0.948459624872204,"C_999",680939,105845,717942,0.134528663521373
"129",8,4,0.962927804220423,"C_999",654269,74504,679458,0.102232107940333
"130",9,4,0.95271366561079,"C_999",701686,100426,736513,0.125201966807628
"131",10,4,0.939059154046825,"C_999",683220,94250,727558,0.121226542503248
"132",11,4,0.94806919287493,"C_999",681858,90060,719207,0.116670423542397
"133",12,4,0.952288611334456,"C_999",523494,78394,549722,0.130246823329257
"134",13,4,0.9330345992801,"C_999",698577,89273,748715,0.113312178714222
"135",14,4,0.949547954142977,"C_999",713139,91800,751030,0.114045909068886
"136",15,4,0.967876661691688,"C_999",627096,94584,647909,0.131060857998005
"137",16,4,0.958509376621451,"C_999",724150,84817,755496,0.104846056761277
"138",17,4,0.936415895416908,"C_999",691663,95874,738628,0.121739042102149
"139",18,4,0.953645094438867,"C_999",694390,106740,728143,0.13323680301574
"140",19,4,0.957200011554682,"C_999",662727,95697,692360,0.126178760165818
"141",20,4,0.953444976503745,"C_999",640736,75022,672022,0.104814755825293
"142",21,4,0.957592585086404,"C_999",708743,100917,740130,0.124641207420399
"143",22,4,0.930831805527263,"C_999",685418,91658,736350,0.117952426789658
"144",23,4,0.933356341295732,"C_999",681520,95285,730182,0.122662701707636
"145",24,4,0.953216515086965,"C_999",514613,75456,539870,0.127876570367194
"146",25,4,0.930835465610605,"C_999",697381,84022,749199,0.107527101892365
"147",26,4,0.923517323567816,"C_999",680394,96788,736742,0.124537109711753
"148",27,4,0.927619386540015,"C_999",677728,101143,730610,0.129858474638291
"149",28,4,0.997989201557859,"C_999",636772,76195,638055,0.106870303955162
"150",29,4,0.934618931623812,"C_999",666845,100223,713494,0.130657255940803
"151",0,5,NA,"C_999",539015,62265,NA,0.103554084619478
"152",1,5,0.950852999027533,"C_999",432176,60748,454514,0.123240093807565
"153",2,5,0.91855961311765,"C_999",578180,73472,629442,0.112747294568267
"154",3,5,0.928318702486051,"C_999",596636,71150,642706,0.10654610908285
"155",4,5,0.953788693063339,"C_999",547510,69182,574037,0.112182418451999
"156",5,5,0.931686370914266,"C_999",576071,68285,618310,0.105974026780227
"157",6,5,0.922884552442508,"C_999",580858,76749,629394,0.116709524077451
"158",7,5,0.928639089119028,"C_999",585272,85128,630247,0.126980906921241
"159",8,5,0.947251798840209,"C_999",586095,62207,618732,0.095953737609941
"160",9,5,0.942890430820215,"C_999",546273,74909,579360,0.120591066708308
"161",10,5,0.922249445582731,"C_999",579299,73549,628137,0.11265868931206
"162",11,5,0.938144329896907,"C_999",574574,70762,612458,0.109651406399147
"163",12,5,0.930968915615881,"C_999",565990,73900,607958,0.115488599603057
"164",13,5,0.972696837383664,"C_999",448885,62009,461485,0.121373513879591
"165",14,5,0.933338625682713,"C_999",587854,68737,629840,0.104687697516414
"166",15,5,0.937283739067847,"C_999",595118,78200,634939,0.116141258662326
"167",16,5,0.962441972466079,"C_999",542568,63355,563741,0.104559490232257
"168",17,5,0.924926201222357,"C_999",600648,74749,649401,0.110674166453212
"169",18,5,0.933821744635348,"C_999",569381,81931,609732,0.125793782396148
"170",19,5,0.923635306838809,"C_999",568891,78464,615926,0.121207065674939
"171",20,5,0.936534014036163,"C_999",562074,62563,600164,0.10015897233113
"172",21,5,0.949018206651835,"C_999",539179,72592,568144,0.118658779183714
"173",22,5,0.91874031473291,"C_999",585165,71822,636921,0.10932027574366
"174",23,5,0.928020312561509,"C_999",565788,75746,609672,0.118070125667541
"175",24,5,0.920508050066049,"C_999",563049,69848,611672,0.110362349639831
"176",25,5,0.945111763774819,"C_999",429920,59725,454888,0.121976125560355
"177",26,5,0.90761909778925,"C_999",568568,70942,626439,0.110931807164861
"178",27,5,0.933407612263982,"C_999",562968,77262,603132,0.120678506161848
"179",28,5,0.882554745241356,"C_999",539977,65894,611834,0.108759125292348
"180",29,5,0.95940781411549,"C_999",540988,72895,563877,0.118744125509258
"181",0,6,NA,"C_999",480143,51959,NA,0.0976485711386163
"182",1,6,0.946339126634619,"C_999",450412,63063,475952,0.122816105944788
"183",2,6,0.972493728916184,"C_999",371019,50663,381513,0.120145038204144
"184",3,6,0.941788113734851,"C_999",489646,58269,519911,0.106346787366654
"185",4,6,0.96668347627705,"C_999",519487,59245,537391,0.102370354499146
"186",5,6,0.956572654410619,"C_999",466421,59914,487596,0.113832445115753
"187",6,6,0.943017077724893,"C_999",483830,63005,513066,0.11521757019942
"188",7,6,0.946068155369479,"C_999",482894,70436,510422,0.127294742739414
"189",8,6,0.958986202827086,"C_999",510313,53134,532138,0.0943016823232709
"190",9,6,0.949546180018797,"C_999",492014,67938,518157,0.121328256707718
"191",10,6,0.941791369624495,"C_999",458675,59249,487024,0.114397093009785
"192",11,6,0.953068807286518,"C_999",495571,59325,519974,0.106911925838355
"193",12,6,0.950852518498411,"C_999",486904,62503,512071,0.113764476972445
"194",13,6,0.956935404103251,"C_999",479861,64534,501456,0.118542602338376
"195",14,6,0.967946462657854,"C_999",387921,48118,400767,0.110352514339314
"196",15,6,0.953903798900188,"C_999",499237,64492,523362,0.114402487720163
"197",16,6,0.963613802905464,"C_999",517980,57579,537539,0.100040134894946
"198",17,6,0.948245539533622,"C_999",457757,59827,482741,0.115588967201459
"199",18,6,0.954398658451567,"C_999",506528,69918,530730,0.121291499984387
"200",19,6,0.949431447386636,"C_999",480099,63711,505670,0.117156727533514
"201",20,6,0.95355755256415,"C_999",490120,54900,513991,0.10073024843125
"202",21,6,0.957857214985358,"C_999",474283,66924,495150,0.123656937179305
"203",22,6,0.931355202704805,"C_999",449011,57074,482105,0.112775521898495
"204",23,6,0.944504846461488,"C_999",491696,64579,520586,0.116091861039953
"205",24,6,0.950819866873102,"C_999",480242,60706,505082,0.112221507427701
"206",25,6,0.948986444621221,"C_999",474795,62731,500318,0.116703192031641
"207",26,6,0.948664943556648,"C_999",357493,53082,376838,0.129286975583024
"208",27,6,0.929270750632077,"C_999",469357,63487,505081,0.11914744277875
"209",28,6,0.957385440123884,"C_999",485943,55395,507573,0.10232978287133
"210",29,6,0.902137092334923,"C_999",426101,67653,472324,0.137017624161019
"211",0,7,NA,"C_999",407246,40950,NA,0.0913662772537015
"212",1,7,0.964325926203356,"C_999",411961,52942,427201,0.113877518536125
"213",2,7,0.953888066899293,"C_999",377795,54354,396058,0.125776063348521
"214",3,7,0.985462825379446,"C_999",327625,38561,332458,0.10530440814231
"215",4,7,0.96418097034784,"C_999",425737,48093,441553,0.101498427706139
"216",5,7,0.961789491787772,"C_999",447386,54327,465160,0.108283022365376
"217",6,7,0.957304116379889,"C_999",392398,56522,409899,0.125906620333244
"218",7,7,0.960034009611003,"C_999",408746,58068,425762,0.124392156190688
"219",8,7,0.970817107276058,"C_999",424549,45583,437311,0.0969578756604528
"220",9,7,0.96527453673454,"C_999",434333,60355,449958,0.122006193802963
"221",10,7,0.952011506080021,"C_999",416347,54680,437334,0.116086763603785
"222",11,7,0.969008083152137,"C_999",397522,48439,410236,0.108617121228089
"223",12,7,0.951836562591386,"C_999",419877,54448,441123,0.114790491751436
"224",13,7,0.974163670145405,"C_999",421544,54180,432724,0.113889566219068
"225",14,7,0.948416323421872,"C_999",405944,51838,428023,0.113237305092817
"226",15,7,1,"C_999",370120,45721,342200,0.109948273498765
"227",16,7,0.964071471039764,"C_999",434561,48481,450756,0.100366013721374
"228",17,7,0.946136044516095,"C_999",436638,56484,461496,0.114543662623043
"229",18,7,0.971402909109054,"C_999",389348,56947,400810,0.127599457757761
"230",19,7,0.95145271536416,"C_999",426502,58264,448264,0.120189947314787
"231",20,7,0.996748744147624,"C_999",431962,46728,433371,0.097616411456266
"232",21,7,0.964758800461147,"C_999",416743,58154,431966,0.122456027306974
"233",22,7,0.943047473853161,"C_999",398364,51861,422422,0.115189072130601
"234",23,7,0.963703518217103,"C_999",384855,49661,399350,0.114290382862771
"235",24,7,0.946087219962605,"C_999",418461,49389,442307,0.105565886502084
"236",25,7,0.949228095095694,"C_999",406300,52210,428032,0.113868836012301
"237",26,7,0.934362116408162,"C_999",392533,54687,420108,0.122282098296141
"238",27,7,1,"C_999",328065,44950,312543,0.120504537351045
"239",28,7,0.94596268300408,"C_999",400216,46279,423078,0.103649536948902
"240",29,7,0.949552219272333,"C_999",406302,58055,427888,0.125022342723379
"241",0,8,NA,"C_999",298511,32520,NA,0.0982385335512384
"242",1,8,0.953619116478671,"C_999",346878,43497,363749,0.111423631123919
"243",2,8,0.967990825587633,"C_999",353669,46597,365364,0.11641508396916
"244",3,8,0.93158092086468,"C_999",313041,41763,336032,0.117707241181046
"245",4,8,1,"C_999",320154,32539,295086,0.0922587065805105
"246",5,8,0.962552724619346,"C_999",366722,44748,380989,0.108751549323158
"247",6,8,0.943388755929579,"C_999",374081,50857,396529,0.119680988756007
"248",7,8,0.96872187615804,"C_999",329379,52384,340014,0.137216021458339
"249",8,8,0.96849695131787,"C_999",360246,36782,371964,0.0926433400163213
"250",9,8,1,"C_999",378230,51440,373109,0.119719784951242
"251",10,8,0.948134849909847,"C_999",364939,49431,384902,0.119291937157613
"252",11,8,0.957966065089157,"C_999",354845,45932,370415,0.114607375173725
"253",12,8,1,"C_999",354058,44441,353081,0.111520982486782
"254",13,8,0.964252713011712,"C_999",358972,47597,372280,0.117069919251099
"255",14,8,0.957937055514277,"C_999",360989,44704,376840,0.110191696677044
"256",15,8,0.857357315382207,"C_999",306687,48232,357712,0.135895795942173
"257",16,8,1,"C_999",338146,34205,335915,0.0918622482550067
"258",17,8,0.952693367480514,"C_999",367531,48780,385781,0.117172018034594
"259",18,8,0.964805357802588,"C_999",368217,54989,381649,0.129934358208532
"260",19,8,1,"C_999",344891,47449,341899,0.1209384717337
"261",20,8,0.910124297846077,"C_999",349485,42505,383997,0.108433888619608
"262",21,8,0.974074610171722,"C_999",370124,51987,379975,0.123159548080955
"263",22,8,0.950114270067749,"C_999",350462,47880,368863,0.120198221628651
"264",23,8,0.942425088776284,"C_999",330680,47482,350882,0.125559945208667
